首周场均人次,首周票房,豆瓣首周评论,总票房
84,181744,3083,339212
68,135212,1009,266503
61,25710,643,175259
69,55978,1693,165592
41,15548,3577,153033
45,103040,1387,147222
60,62796,1686,124632
58,76836,745,120101
40,16562,2244,118438
39,47221,1565,117454
40,50289,811,114973
44,40735,493,112741
55,78628,501,111818
50,60975,962,111180
42,12341,1851,104851
46,47875,998,100450
34,33978,1249,100200
42,31949,1143,97938
37,41042,433,88949
54,34798,1014,82557
35,31178,1192,81424
40,38587,1379,80289
49,35550,1207,78681
44,44277,521,77028
56,29856,420,75792
33,30047,1818,75169
34,31837,1501,73159
31,21713,396,69907
30,34257,1077,67861
45,29911,1034,67825
31,16846,502,65853
43,28836,956,63895
44,37303,1065,61908
30,10994,865,60793
39,24080,794,60630
37,28344,1803,59170
29,31078,866,59073
44,22808,1514,56523
50,9502,57,52248
31,19779,512,51398
37,24035,599,50323
27,20582,1103,48373
34,28099,1097,48297
22,21327,719,47817
22,28543,329,44730
23,32833,845,44713
25,20683,632,44099
22,11789,1871,42659
36,17055,321,39359
32,18161,217,39339
23,15990,944,39230
23,19455,849,38924
24,17739,517,38714
30,19813,600,38291
40,20916,1406,37740
31,14105,1328,37054
24,25134,333,36605
26,16666,348,33896
32,17931,517,33682
33,16851,290,32443
19,12075,811,31449
22,18350,230,30612
25,15746,630,29151
39,10565,29,28775
26,20188,266,28397
26,12278,488,27585
32,10722,158,26032
27,13791,201,25625
21,11978,399,25422
21,14859,2054,24781
26,13046,216,23541
24,8557,476,22702
18,7755,758,21620
26,11767,168,21350
22,11792,497,20970
21,11945,176,20909
14,14858,385,20232
25,10924,382,19208
30,10663,3718,18916
24,9998,310,17991
29,6219,277,17989
24,9143,410,17464
13,5838,1861,17306
18,7757,37,17131
24,9160,240,16739
17,7244,1661,16695
13,8092,1308,16518
21,13495,1786,16136
18,11268,399,16103
17,9027,333,15641
15,5873,234,15284
17,9138,317,14325
14,7865,834,13590
17,8551,423,13433
51,2977,80,12996
20,7290,366,12938
20,6893,150,12782
18,4072,15,12636
23,7771,189,12551
17,6777,75,12408
15,6595,1236,12297
16,9054,270,12262
19,6486,195,12209
18,8067,118,12191
20,6952,602,11840
14,8038,111,11433
11,5069,1320,10914
17,6918,160,10633
24,5467,88,10610
17,5197,227,10355
14,1611,30,10312
13,5666,475,10172
15,5286,360,10075
19,6279,478,10045
10,4473,132,9387
13,4461,515,9082
22,5413,7,9022
22,5236,65,8845
6,155,737,8695
6,779,633,8314
18,5798,144,8108
18,5213,161,8101
31,6235,186,7868
20,5248,354,7865
10,3486,134,7774
12,5446,188,7267
13,3991,305,7144
11,4912,57,6697
29,1506,353,6657
21,3959,0,6548
18,4123,70,6419
14,5172,31,6386
19,3300,74,6338
14,3698,58,6267
13,3809,980,6228
19,2886,50,6164
11,3783,143,6112
15,3495,68,6042
